age,sex,state,combined_race
58,woman,Pennsylvania,White
6,man,Minnesota,White
54,woman,Illinois,White
68,man,Washington,White
36,woman,Texas,White
0,woman,Alabama,Black
32,woman,South Carolina,Hmong
15,woman,Wisconsin,Filipino
27,woman,Virginia,Salvadoran
19,woman,Ohio,White
21,woman,North Carolina,White
46,woman,New York,
41,woman,New Jersey,White
49,man,Texas,White
80,woman,Arizona,White
63,woman,Washington,White
58,woman,New York,White
66,man,Maryland,White
21,woman,Maine,White
19,man,Ohio,White
10,woman,North Carolina,
55,woman,Texas,Mexican
7,man,Tennessee,White
70,woman,Pennsylvania,White
19,man,Maryland,Salvadoran
50,woman,Michigan,White
70,woman,North Carolina,White
63,man,Florida,Mexican
34,man,Ohio,multiracial
16,man,Tennessee,White
24,woman,Pennsylvania,White
55,man,California,multiracial
60,man,Texas,Filipino
48,woman,Minnesota,White
52,woman,South Carolina,Black
76,man,Texas,White
5,man,New Jersey,White
36,man,Illinois,Mexican
54,man,Michigan,White
3,man,Indiana,White
79,woman,Texas,White
53,man,New Jersey,White
42,man,Pennsylvania,White
65,woman,Wisconsin,White
74,man,Virginia,White
38,man,Texas,Black
22,woman,Alabama,White
14,woman,Louisiana,Black
27,woman,California,Mexican
22,man,Missouri,Black
57,woman,Ohio,White
88,woman,Florida,Black
85,man,Texas,Black
53,woman,New York,Native Hawaiian
51,woman,New Mexico,White
65,woman,Pennsylvania,White
75,woman,Georgia,White
62,woman,Virginia,White
54,woman,Ohio,White
53,man,Maryland,Costa Rican
63,man,California,Panamanian
61,woman,Ohio,Chinese
80,man,New York,White
17,man,Missouri,White
80,man,Hawaii,Filipino
62,man,Oregon,White
12,man,New York,Black
45,man,New York,Black
19,woman,Arizona,White
17,man,South Carolina,Black
67,man,Massachusetts,White
34,man,Iowa,White
17,man,Pennsylvania,multiracial
21,woman,Arizona,American Indian
19,man,Texas,Mexican
40,man,Nebraska,White
87,woman,Nebraska,White
70,man,California,White
15,man,Florida,Peruvian
8,man,California,Mexican
56,man,Michigan,White
78,woman,Ohio,Black
60,man,Georgia,White
87,woman,Florida,White
18,woman,California,multiracial
42,woman,Massachusetts,White
9,man,Florida,Cuban
49,woman,Iowa,White
57,man,Nevada,White
67,woman,Nebraska,White
24,man,Texas,Mexican
64,woman,Mississippi,White
35,man,Alabama,White
85,woman,Arizona,White
69,woman,Oregon,White
59,woman,Florida,multiracial
47,woman,Minnesota,White
56,woman,South Carolina,White
40,man,New York,Black
13,woman,California,Mexican
